DATE,3 Month Treasury Bills Yield
1/1/1934,0.72
1/2/1934,0.62
1/3/1934,0.24
1/4/1934,0.15
1/5/1934,0.16
1/6/1934,0.15
1/7/1934,0.15
1/8/1934,0.19
1/9/1934,0.21
1/10/1934,0.27
1/11/1934,0.25
1/12/1934,0.23
1/1/1935,0.2
1/2/1935,0.19
1/3/1935,0.15
1/4/1935,0.15
1/5/1935,0.15
1/6/1935,0.15
1/7/1935,0.15
1/8/1935,0.16
1/9/1935,0.2
1/10/1935,0.2
1/11/1935,0.16
1/12/1935,0.15
1/1/1936,0.2
1/2/1936,0.2
1/3/1936,0.2
1/4/1936,0.2
1/5/1936,0.2
1/6/1936,0.2
1/7/1936,0.15
1/8/1936,0.2
1/9/1936,0.16
1/10/1936,0.13
1/11/1936,0.11
1/12/1936,0.12
1/1/1937,0.17
1/2/1937,0.15
1/3/1937,0.38
1/4/1937,0.56
1/5/1937,0.41
1/6/1937,0.36
1/7/1937,0.28
1/8/1937,0.29
1/9/1937,0.31
1/10/1937,0.2
1/11/1937,0.09
1/12/1937,0.11
1/1/1938,0.1
1/2/1938,0.08
1/3/1938,0.08
1/4/1938,0.09
1/5/1938,0.05
1/6/1938,0.05
1/7/1938,0.07
1/8/1938,0.06
1/9/1938,0.08
1/10/1938,0.05
1/11/1938,0.04
1/12/1938,0.03
1/1/1939,0.03
1/2/1939,0.03
1/3/1939,0.03
1/4/1939,0.03
1/5/1939,0.03
1/6/1939,0.03
1/7/1939,0.04
1/8/1939,0.05
1/9/1939,0.14
1/10/1939,0.05
1/11/1939,0.05
1/12/1939,0.04
1/1/1940,0.01
1/2/1940,0.02
1/3/1940,0.02
1/4/1940,0.02
1/5/1940,0.06
1/6/1940,0.1
1/7/1940,0.05
1/8/1940,0.04
1/9/1940,0.05
1/10/1940,0.02
1/11/1940,0.02
1/12/1940,0.02
1/1/1941,0.02
1/2/1941,0.04
1/3/1941,0.11
1/4/1941,0.1
1/5/1941,0.11
1/6/1941,0.12
1/7/1941,0.12
1/8/1941,0.13
1/9/1941,0.1
1/10/1941,0.09
1/11/1941,0.28
1/12/1941,0.33
1/1/1942,0.27
1/2/1942,0.25
1/3/1942,0.25
1/4/1942,0.32
1/5/1942,0.37
1/6/1942,0.37
1/7/1942,0.38
1/8/1942,0.38
1/9/1942,0.38
1/10/1942,0.38
1/11/1942,0.38
1/12/1942,0.38
1/1/1943,0.38
1/2/1943,0.38
1/3/1943,0.38
1/4/1943,0.38
1/5/1943,0.38
1/6/1943,0.38
1/7/1943,0.38
1/8/1943,0.38
1/9/1943,0.38
1/10/1943,0.38
1/11/1943,0.38
1/12/1943,0.38
1/1/1944,0.38
1/2/1944,0.38
1/3/1944,0.38
1/4/1944,0.38
1/5/1944,0.38
1/6/1944,0.38
1/7/1944,0.38
1/8/1944,0.38
1/9/1944,0.38
1/10/1944,0.38
1/11/1944,0.38
1/12/1944,0.38
1/1/1945,0.38
1/2/1945,0.38
1/3/1945,0.38
1/4/1945,0.38
1/5/1945,0.38
1/6/1945,0.38
1/7/1945,0.38
1/8/1945,0.38
1/9/1945,0.38
1/10/1945,0.38
1/11/1945,0.38
1/12/1945,0.38
1/1/1946,0.38
1/2/1946,0.38
1/3/1946,0.38
1/4/1946,0.38
1/5/1946,0.38
1/6/1946,0.38
1/7/1946,0.38
1/8/1946,0.38
1/9/1946,0.38
1/10/1946,0.38
1/11/1946,0.38
1/12/1946,0.38
1/1/1947,0.38
1/2/1947,0.38
1/3/1947,0.38
1/4/1947,0.38
1/5/1947,0.38
1/6/1947,0.38
1/7/1947,0.66
1/8/1947,0.75
1/9/1947,0.8
1/10/1947,0.85
1/11/1947,0.92
1/12/1947,0.95
1/1/1948,0.97
1/2/1948,1
1/3/1948,1
1/4/1948,1
1/5/1948,1
1/6/1948,1
1/7/1948,1
1/8/1948,1.06
1/9/1948,1.09
1/10/1948,1.12
1/11/1948,1.14
1/12/1948,1.16
1/1/1949,1.17
1/2/1949,1.17
1/3/1949,1.17
1/4/1949,1.17
1/5/1949,1.17
1/6/1949,1.17
1/7/1949,1.02
1/8/1949,1.04
1/9/1949,1.07
1/10/1949,1.05
1/11/1949,1.08
1/12/1949,1.1
1/1/1950,1.07
1/2/1950,1.12
1/3/1950,1.12
1/4/1950,1.15
1/5/1950,1.16
1/6/1950,1.15
1/7/1950,1.16
1/8/1950,1.2
1/9/1950,1.3
1/10/1950,1.31
1/11/1950,1.36
1/12/1950,1.34
1/1/1951,1.34
1/2/1951,1.36
1/3/1951,1.4
1/4/1951,1.47
1/5/1951,1.55
1/6/1951,1.45
1/7/1951,1.56
1/8/1951,1.62
1/9/1951,1.63
1/10/1951,1.54
1/11/1951,1.56
1/12/1951,1.73
1/1/1952,1.57
1/2/1952,1.54
1/3/1952,1.59
1/4/1952,1.57
1/5/1952,1.67
1/6/1952,1.7
1/7/1952,1.81
1/8/1952,1.83
1/9/1952,1.71
1/10/1952,1.74
1/11/1952,1.85
1/12/1952,2.09
1/1/1953,1.96
1/2/1953,1.97
1/3/1953,2.01
1/4/1953,2.19
1/5/1953,2.16
1/6/1953,2.11
1/7/1953,2.04
1/8/1953,2.04
1/9/1953,1.79
1/10/1953,1.38
1/11/1953,1.44
1/12/1953,1.6
1/1/1954,1.18
1/2/1954,0.97
1/3/1954,1.03
1/4/1954,0.97
1/5/1954,0.76
1/6/1954,0.64
1/7/1954,0.72
1/8/1954,0.92
1/9/1954,1.01
1/10/1954,0.98
1/11/1954,0.93
1/12/1954,1.15
1/1/1955,1.22
1/2/1955,1.17
1/3/1955,1.28
1/4/1955,1.59
1/5/1955,1.45
1/6/1955,1.41
1/7/1955,1.6
1/8/1955,1.9
1/9/1955,2.07
1/10/1955,2.23
1/11/1955,2.24
1/12/1955,2.54
