date,close,volume
2001-02-07,20.4,11552400
2001-02-08,21.58,23853599
2001-02-09,22.6,17748599
2001-02-12,23.2,26993399
2001-02-13,21.8,27755399
2001-02-14,20.3,54536998
2001-02-15,20.02,25462799
2001-02-16,20.1,15314400
2001-02-20,19.65,13223400
2001-02-21,19.0,20430599
2001-02-22,18.8,11387400
2001-02-23,18.25,14966400
2001-02-26,18.21,13698000
2001-02-27,18.2,15691200
2001-02-28,17.9,11302800
2001-03-01,17.5,15931800
2001-03-02,17.16,16018200
2001-03-05,17.42,9621000
2001-03-06,17.51,14812800
2001-03-07,17.7,13666200
2001-03-08,17.92,12564000
2001-03-09,17.55,19356599
2001-03-12,17.0,9232200
2001-03-13,16.76,14820600
2001-03-14,15.95,38831999
2001-03-15,15.83,7678800
2001-03-16,16.3,15991200
2001-03-19,17.07,10650600
2001-03-20,16.28,12019800
2001-03-21,16.1,6743400
2001-03-22,15.02,19406399
2001-03-23,14.95,10917600
2001-03-26,14.76,5634000
2001-03-27,14.88,12487800
2001-03-28,14.63,6466200
2001-03-29,14.1,7452000
2001-03-30,14.65,5686200
2001-04-02,14.7,13591200
2001-04-03,14.38,8204400
2001-04-04,14.2,12697800
2001-04-05,15.09,9211200
2001-04-06,15.29,7410600
2001-04-09,15.46,12058200
2001-04-10,16.17,10735800
2001-04-11,16.42,9439800
2001-04-12,16.38,1380000
2001-04-16,16.42,7940400
2001-04-17,16.51,7827600
2001-04-18,16.85,20953799
2001-04-19,16.85,13501800
2001-04-20,15.85,18444599
2001-04-23,16.25,9811200
2001-04-24,16.45,11821200
2001-04-25,16.7,7629600
2001-04-26,17.56,25484999
2001-04-27,17.95,12792000
2001-04-30,18.4,12829800
2001-05-01,18.75,6694200
2001-05-02,19.51,22631399
2001-05-03,19.71,12180600
2001-05-04,19.55,6849600
2001-05-07,19.8,9095400
2001-05-08,19.31,4704000
2001-05-09,19.55,10741200
2001-05-10,20.0,8575800
2001-05-11,19.9,6382200
2001-05-14,19.76,4762800
2001-05-15,19.59,4675800
2001-05-16,19.95,9043200
2001-05-17,20.4,21994799
2001-05-18,21.35,18707399
2001-05-21,21.86,8032200
2001-05-22,22.15,8127600
2001-05-23,22.3,12334800
2001-05-24,21.56,8681400
2001-05-25,21.3,3693600
2001-05-29,20.9,7952400
2001-05-30,20.4,5617200
2001-05-31,20.39,7425000
2001-06-01,20.4,5868000
2001-06-04,20.65,7663200
2001-06-05,20.9,3662400
2001-06-06,22.3,8443800
2001-06-07,22.1,5982600
2001-06-08,21.83,5189400
2001-06-11,21.55,4507200
2001-06-12,21.55,5470800
2001-06-13,21.65,5762400
2001-06-14,21.5,4351800
2001-06-15,21.29,5019000
2001-06-18,20.4,9595800
2001-06-19,19.8,16527600
2001-06-20,19.9,16758000
2001-06-21,20.15,10909200
2001-06-22,20.03,6387600
2001-06-25,20.25,3471600
2001-06-26,20.38,6461400
2001-06-27,20.53,5886000
2001-06-28,20.74,4761600
2001-06-29,20.86,6266400
2001-07-02,21.6,11831400
2001-07-03,21.65,5413200
2001-07-05,21.0,8409000
2001-07-06,20.46,10686000
2001-07-09,20.51,3871200
2001-07-10,20.55,13218000
2001-07-11,20.03,13396800
2001-07-12,19.4,13850400
2001-07-13,19.08,14840400
2001-07-16,18.93,13126200
2001-07-17,18.85,17303400
2001-07-18,18.52,7086000
2001-07-19,18.7,18580799
2001-07-20,18.8,14010600
2001-07-23,19.01,11112600
2001-07-24,18.85,16327200
2001-07-25,18.98,13821600
2001-07-26,19.39,8937000
2001-07-27,19.41,4638000
2001-07-30,19.74,5808600
2001-07-31,19.74,9180600
2001-08-01,19.71,7738800
2001-08-02,20.3,9169800
2001-08-03,20.38,4990200
2001-08-06,20.01,5851200
2001-08-07,20.02,6138000
2001-08-08,19.97,8265000
2001-08-09,19.69,8435400
2001-08-10,19.9,5025000
2001-08-13,19.8,3654000
2001-08-14,19.9,2631000
2001-08-15,19.21,16517400
2001-08-16,18.09,45005999
2001-08-17,17.5,13771200
2001-08-20,17.55,7010400
2001-08-21,17.7,6585000
2001-08-22,17.71,8607600
2001-08-23,17.58,3030600
2001-08-24,18.13,7047600
2001-08-27,18.18,3228000
2001-08-28,17.63,3771000
2001-08-29,17.5,7554000
2001-08-30,16.96,4765800
2001-08-31,16.84,6226200
2001-09-04,16.15,10156200
2001-09-05,15.0,16867800
2001-09-06,14.26,32953799
2001-09-07,14.25,26128799
2001-09-10,14.2,15168600
2001-09-17,12.4,16731600
2001-09-18,12.29,10669800
2001-09-19,12.49,14089800
2001-09-20,12.54,12817800
2001-09-21,12.99,13004400
2001-09-24,14.14,20749799
2001-09-25,13.85,7891800
2001-09-26,13.6,6024000
2001-09-27,14.23,5373000
2001-09-28,14.83,12745800
2001-10-01,14.9,4893600
2001-10-02,15.01,15644400
2001-10-03,14.73,7733400
2001-10-04,14.78,33026999
2001-10-05,14.3,8870400
2001-10-08,14.01,4209600
2001-10-09,14.7,4776600
2001-10-10,15.25,6839400
2001-10-11,15.46,7336200
2001-10-12,15.3,12018600
2001-10-15,14.55,4959000
2001-10-16,14.54,6514800
2001-10-17,14.38,5374200
2001-10-18,14.13,6371400
2001-10-19,14.17,5485800
2001-10-22,14.15,3808200
2001-10-23,14.25,4462800
2001-10-24,15.24,20499599
2001-10-25,15.2,5386800
2001-10-26,14.98,5023800
2001-10-29,14.55,3759000
2001-10-30,14.53,8106000
2001-10-31,15.0,3757800
2001-11-01,15.2,22172399
2001-11-02,15.2,5730600
2001-11-05,15.51,11826600
2001-11-06,15.52,24949199
2001-11-07,15.46,9574200
2001-11-08,15.4,9835800
2001-11-09,15.45,12717600
2001-11-12,15.16,6303000
2001-11-13,15.69,10927800
2001-11-14,16.54,23119199
2001-11-15,16.59,14098800
2001-11-16,16.5,5515200
2001-11-19,16.28,4028400
2001-11-20,15.8,8923200
2001-11-21,15.8,11541600
2001-11-23,16.12,3026400
2001-11-26,16.47,13024200
2001-11-27,16.71,9788400
2001-11-28,16.9,10617600
2001-11-29,17.04,8858400
2001-11-30,17.35,6388800
2001-12-03,17.5,6936600
2001-12-04,17.74,7494000
2001-12-05,18.5,14805000
2001-12-06,18.5,8773800
2001-12-07,18.82,9980400
2001-12-10,18.89,6015000
2001-12-11,19.08,7527600
2001-12-12,18.78,4419000
2001-12-13,18.18,11157600
2001-12-14,18.6,6679800
2001-12-17,19.2,4333200
2001-12-18,19.14,6181200
2001-12-19,19.02,4247400
2001-12-20,19.02,5479800
2001-12-21,19.43,8716200
2001-12-24,19.27,816000
2001-12-26,19.5,1665600
2001-12-27,19.52,2136000
2001-12-28,19.6,1598400
2001-12-31,19.48,3736800
2002-01-02,19.43,3856800
2002-01-03,20.02,7943400
2002-01-04,20.05,5624400
2002-01-07,19.94,2506200
2002-01-08,19.99,2897400
2002-01-09,19.53,7212600
2002-01-10,18.4,19242599
2002-01-11,18.62,6459600
2002-01-14,18.41,6553800
2002-01-15,19.6,10851600
2002-01-16,19.88,10047000
2002-01-17,19.99,6693600
2002-01-18,19.53,7000200
2002-01-22,18.82,5376000
2002-01-23,19.57,10774200
2002-01-24,19.69,9610200
2002-01-25,20.03,8721000
2002-01-28,20.05,8265600
2002-01-29,19.46,8688000
2002-01-30,19.19,12111600
2002-01-31,19.8,9353400
2002-02-01,18.97,25137599
2002-02-04,18.41,14099400
2002-02-05,17.0,13942800
2002-02-06,18.39,18646199
2002-02-07,18.39,8106000
2002-02-08,18.5,4744200
2002-02-11,18.12,9580800
2002-02-12,18.0,10866000
2002-02-13,18.4,6130200
2002-02-14,18.75,8589000
2002-02-15,18.7,6950400
2002-02-19,17.95,12826200
2002-02-20,17.99,12556800
2002-02-21,17.95,11580600
2002-02-22,17.89,5812200
2002-02-25,18.23,3178200
2002-02-26,18.42,4483200
2002-02-27,18.64,4710000
2002-02-28,18.1,6365400
2002-03-01,18.45,9873600
2002-03-04,19.18,10848600
2002-03-05,19.35,15780000
2002-03-06,19.84,16089000
2002-03-07,19.06,5499600
2002-03-08,19.5,5960400
2002-03-11,20.05,8307000
2002-03-12,20.3,8189400
2002-03-13,19.7,10300200
2002-03-14,19.39,9907800
2002-03-15,19.74,8041200
2002-03-18,19.94,8926200
2002-03-19,20.31,5028600
2002-03-20,20.28,4740000
2002-03-21,20.39,1825200
2002-03-22,20.26,4258200
2002-03-25,19.97,2748600
2002-03-26,19.7,5184600
2002-03-27,19.72,4134000
2002-03-28,19.86,2919000
2002-04-01,19.55,11698800
2002-04-02,19.4,7482000
2002-04-03,19.05,4694400
2002-04-04,19.49,8155200
2002-04-05,19.79,7022400
2002-04-08,19.4,3393000
2002-04-09,19.2,4824000
2002-04-10,19.44,8299800
2002-04-11,18.89,11389200
2002-04-12,18.5,13005600
2002-04-15,18.25,8946000
2002-04-16,18.8,11094000
2002-04-17,19.12,8415600
2002-04-18,19.55,8145000
2002-04-19,19.3,7190400
2002-04-22,19.01,5840400
2002-04-23,18.6,6187800
2002-04-24,19.15,7099200
2002-04-25,19.06,5083800
2002-04-26,19.14,6156600
2002-04-29,18.72,6514800
2002-04-30,18.65,3700200
2002-05-01,18.18,3751200
2002-05-02,18.02,9413400
2002-05-03,18.75,5616600
2002-05-06,18.46,2201400
2002-05-07,18.11,5085600
2002-05-08,18.77,7698600
2002-05-09,18.6,7174800
2002-05-10,18.5,14033400
2002-05-13,18.5,7642200
2002-05-14,18.54,7125000
2002-05-15,18.8,5809200
2002-05-16,19.16,4983000
2002-05-17,19.3,6835800
2002-05-20,18.9,4035000
2002-05-21,18.69,5000400
2002-05-22,18.8,3472200
2002-05-23,18.82,3267600
2002-05-24,18.71,3844200
2002-05-28,18.4,5083200
2002-05-29,17.96,9162000
2002-05-30,17.36,13239000
2002-05-31,17.49,6402000
2002-06-03,17.04,5886600
2002-06-04,17.02,5062800
2002-06-05,16.81,4926600
2002-06-06,15.79,14125200
2002-06-07,15.55,8810400
2002-06-10,15.2,9247800
2002-06-11,15.13,15408000
2002-06-12,14.9,4750200
2002-06-13,14.85,3997800
2002-06-14,14.87,6721200
2002-06-17,14.88,7322400
2002-06-18,15.0,11091000
2002-06-19,14.81,12126600
2002-06-20,14.3,5112000
2002-06-21,14.0,7770000
2002-06-24,13.15,15949200
2002-06-25,13.0,49333799
2002-06-26,11.89,20127599
2002-06-27,13.5,18566399
2002-06-28,13.4,8633400
2002-07-01,13.3,9545400
2002-07-02,13.0,15666600
2002-07-03,13.35,6746400
2002-07-05,13.92,6012600
2002-07-08,14.0,5120400
2002-07-09,14.05,6972000
2002-07-10,13.64,4368600
2002-07-11,13.9,4164000
2002-07-12,14.1,2761800
2002-07-15,14.52,4675800
2002-07-16,14.4,6187200
2002-07-17,14.28,11911800
2002-07-18,14.35,11182800
2002-07-19,14.0,5492400
2002-07-22,13.22,7443600
2002-07-23,13.0,5533800
2002-07-24,13.3,12662400
2002-07-25,13.1,5019000
2002-07-26,13.28,3930600
2002-07-29,13.48,10518600
2002-07-30,13.1,8248800
2002-07-31,12.55,5914800
2002-08-01,12.0,7786200
2002-08-02,11.86,15612000
2002-08-05,11.54,7296000
2002-08-06,12.04,10821000
2002-08-07,12.34,10229400
2002-08-08,13.6,21817799
2002-08-09,13.31,12873600
2002-08-12,13.49,13801200
2002-08-13,12.89,8573400
2002-08-14,13.46,6107400
2002-08-15,14.05,6540600
2002-08-16,14.09,8283600
2002-08-19,14.13,5983200
2002-08-20,13.94,2362200
2002-08-21,13.97,6340200
2002-08-22,13.97,3551400
2002-08-23,13.69,2502000
2002-08-26,14.0,4798800
2002-08-27,13.8,4020000
2002-08-28,13.82,3645600
2002-08-29,14.0,8000400
2002-08-30,13.85,2353200
2002-09-03,13.57,6254400
2002-09-04,13.6,3400800
2002-09-05,13.47,5301600
2002-09-06,13.86,3580200
2002-09-09,13.91,7125600
2002-09-10,14.06,10053000
2002-09-11,14.17,4050600
2002-09-12,14.13,10545600
2002-09-13,14.12,4212600
2002-09-16,14.35,4525200
2002-09-17,14.01,8858400
2002-09-18,13.59,7405200
2002-09-19,12.56,10826400
2002-09-20,13.1,8957400
2002-09-23,13.03,5242200
2002-09-24,12.92,11433000
2002-09-25,13.12,10756200
2002-09-26,13.35,11203800
2002-09-27,12.36,12502800
2002-09-30,12.08,10716600
2002-10-01,12.88,8109000
2002-10-02,12.55,4633800
2002-10-03,12.87,4134600
2002-10-04,12.75,4037400
2002-10-07,12.71,4962000
2002-10-08,12.5,6837000
2002-10-09,11.88,7927800
2002-10-10,12.03,10604400
2002-10-11,12.66,7626000
2002-10-14,12.79,2712000
2002-10-15,13.32,5792400
2002-10-16,12.95,4720200
2002-10-17,13.62,10048200
2002-10-18,13.53,2877000
2002-10-21,13.99,5994000
2002-10-22,13.74,4403400
2002-10-23,13.56,7501200
2002-10-24,13.65,9718200
2002-10-25,13.75,4366800
2002-10-28,13.51,3590400
2002-10-29,13.34,2875800
2002-10-30,13.53,2027400
2002-10-31,13.44,4248000
2002-11-01,13.59,4000800
2002-11-04,13.86,9373800
2002-11-05,13.65,5308800
2002-11-06,13.92,4080000
2002-11-07,13.59,7872600
2002-11-08,13.47,5694000
2002-11-11,13.35,3695400
2002-11-12,13.5,2561400
2002-11-13,13.35,5668200
2002-11-14,13.6,3823800
2002-11-15,13.22,4068600
2002-11-18,13.35,3925200
2002-11-19,12.93,5911200
2002-11-20,13.6,5903400
2002-11-21,14.13,20467199
2002-11-22,14.0,7938600
2002-11-25,14.13,5751600
2002-11-26,14.53,16620600
2002-11-27,15.14,13899600
2002-11-29,15.15,4456800
2002-12-02,15.35,14986800
2002-12-03,15.19,7509600
2002-12-04,14.7,13537800
2002-12-05,14.81,2206200
2002-12-06,14.99,6664800
2002-12-09,14.52,4406400
2002-12-10,14.98,2487600
2002-12-11,14.58,5155200
2002-12-12,14.66,3271200
2002-12-13,14.4,3679200
2002-12-16,14.77,4290600
2002-12-17,14.67,5741400
2002-12-18,14.65,3398400
2002-12-19,14.62,3274800
2002-12-20,15.03,13973400
2002-12-23,15.01,4945200
2002-12-24,14.91,3012600
2002-12-26,14.82,1761600
2002-12-27,14.6,1873200
2002-12-30,14.45,1789800
2002-12-31,14.36,2896800
2003-01-02,14.83,2332200
2003-01-03,14.77,2243400
2003-01-06,15.19,7672800
2003-01-07,15.22,4165200
2003-01-08,15.1,3620400
2003-01-09,14.89,6863400
2003-01-10,14.73,6677400
2003-01-13,14.92,6422400
2003-01-14,15.62,12936000
2003-01-15,15.56,8196000
2003-01-16,15.29,4782600
2003-01-17,14.95,9554400
2003-01-21,14.67,7884000
2003-01-22,14.16,11720400
2003-01-23,14.19,4177200
2003-01-24,13.9,4955400
2003-01-27,13.88,3888600
2003-01-28,13.94,6373800
2003-01-29,14.1,4622400
2003-01-30,14.11,11808000
2003-01-31,14.09,2845800
2003-02-03,14.3,3749400
2003-02-04,14.12,3241800
2003-02-05,14.01,2444400
2003-02-06,13.99,3811800
2003-02-07,13.73,4033200
2003-02-10,13.75,3208800
2003-02-11,13.29,5698800
2003-02-12,12.5,15016200
2003-02-13,12.84,5613600
2003-02-14,12.86,6124800
2003-02-18,13.3,6072000
2003-02-19,13.51,4351200
2003-02-20,13.48,4987800
2003-02-21,13.68,4281000
2003-02-24,13.53,3575400
2003-02-25,13.36,3205200
2003-02-26,13.28,1686000
2003-02-27,13.43,2988000
2003-02-28,13.8,5756400
2003-03-03,13.75,6716400
2003-03-04,13.6,5087400
2003-03-05,13.31,3814200
2003-03-06,13.62,5730600
2003-03-07,13.92,5602800
2003-03-10,13.74,5849400
2003-03-11,13.75,4836600
2003-03-12,13.68,7376400
2003-03-13,13.76,12745800
2003-03-14,13.91,5034000
2003-03-17,14.07,9568800
2003-03-18,13.94,7342200
2003-03-19,14.0,9335400
2003-03-20,13.84,9771600
2003-03-21,14.04,6601200
2003-03-24,13.5,15925200
2003-03-25,13.66,5506200
2003-03-26,13.76,4503000
2003-03-27,13.75,2296800
2003-03-28,13.46,3839400
2003-03-31,13.37,2952000
2003-04-01,13.61,4361400
2003-04-02,13.8,4887600
2003-04-03,14.07,12670800
2003-04-04,14.44,13881000
2003-04-07,14.7,14097000
2003-04-08,14.85,6443400
2003-04-09,14.75,6738600
2003-04-10,14.62,7383600
2003-04-11,14.8,5328000
2003-04-14,14.95,3672600
2003-04-15,15.16,6097200
2003-04-16,15.09,9505800
2003-04-17,15.01,2839200
2003-04-21,15.46,4011000
2003-04-22,15.72,8762400
2003-04-23,15.9,9221400
2003-04-24,16.5,18958799
2003-04-25,16.6,5118600
2003-04-28,16.82,5568600
2003-04-29,16.89,8547000
2003-04-30,16.77,6696000
2003-05-01,16.74,5308200
2003-05-02,17.49,7114200
2003-05-05,17.75,7967400
2003-05-06,17.44,5723400
2003-05-07,17.69,5952600
2003-05-08,17.15,9796200
2003-05-09,17.75,6155400
2003-05-12,17.7,5106000
2003-05-13,17.75,5059200
2003-05-14,18.05,6768600
2003-05-15,17.98,6443400
2003-05-16,17.68,3984600
2003-05-19,17.26,7055400
2003-05-20,17.25,7660200
2003-05-21,17.35,4848600
2003-05-22,17.58,7908600
2003-05-23,17.96,4867200
2003-05-27,17.93,3039600
2003-05-28,17.89,4907400
2003-05-29,18.08,7518600
2003-05-30,18.26,6245400
2003-06-02,18.73,5838000
2003-06-03,18.73,5601000
2003-06-04,18.42,6918000
2003-06-05,17.9,16996200
2003-06-06,17.6,12011400
2003-06-09,17.65,7531800
2003-06-10,17.71,8002200
2003-06-11,17.8,6543000
2003-06-12,17.94,6565800
2003-06-13,18.07,5188800
2003-06-16,18.4,4412400
2003-06-17,18.53,5061600
2003-06-18,18.46,6615000
2003-06-19,18.3,5572200
2003-06-20,18.36,4866000
2003-06-23,18.11,4269000
2003-06-24,18.45,4789200
2003-06-25,18.49,4333200
2003-06-26,18.68,2190600
2003-06-27,18.8,3355800
2003-06-30,18.75,3441600
2003-07-01,19.16,6351000
2003-07-02,19.26,5894400
2003-07-03,19.22,2065800
2003-07-07,19.35,6734400
2003-07-08,19.32,8708400
2003-07-09,19.25,4354200
2003-07-10,19.2,3988800
2003-07-11,19.2,3822600
2003-07-14,19.74,4707600
2003-07-15,19.72,3678600
2003-07-16,20.01,13183800
2003-07-17,19.65,9967800
2003-07-18,19.93,4062000
2003-07-21,19.85,5787000
2003-07-22,21.44,28735799
2003-07-23,21.88,8064000
2003-07-24,21.9,12780000
2003-07-25,22.58,6768000
2003-07-28,22.74,4212000
2003-07-29,21.9,6528000
2003-07-30,21.96,2532000
2003-07-31,22.34,4915800
2003-08-01,22.04,3942600
2003-08-04,21.35,10489800
2003-08-05,20.78,11107800
2003-08-06,21.1,6991200
2003-08-07,21.77,5399400
2003-08-08,22.1,4369200
2003-08-11,22.07,2902200
2003-08-12,22.05,2439600
2003-08-13,22.55,3477000
2003-08-14,23.03,7336800
2003-08-15,22.87,4342200
2003-08-18,22.97,6676800
2003-08-19,23.08,5163600
2003-08-20,22.62,6130200
2003-08-21,22.77,4399800
2003-08-22,22.78,4886400
2003-08-25,22.49,6160800
2003-08-26,22.35,13141200
2003-08-27,22.56,4986600
2003-08-28,22.78,9128400
2003-08-29,23.0,4403400
2003-09-02,23.46,8910000
2003-09-03,23.47,9795600
2003-09-04,23.68,4878000
2003-09-05,23.65,5250600
2003-09-08,23.26,6306000
2003-09-09,23.02,10097400
2003-09-10,23.16,14391600
2003-09-11,23.0,10534200
2003-09-12,23.01,5913000
2003-09-15,23.0,5416800
2003-09-16,23.17,4754400
2003-09-17,23.18,3870600
2003-09-18,23.58,13319400
2003-09-19,23.64,10043400
2003-09-22,23.52,3957000
2003-09-23,23.61,6686400
2003-09-24,23.51,9152400
2003-09-25,23.47,4812000
2003-09-26,23.1,5405400
2003-09-29,23.37,5080200
2003-09-30,23.11,4096200
2003-10-01,23.0,27417599
2003-10-02,22.3,10719600
2003-10-03,22.29,12876600
2003-10-06,22.2,7200600
2003-10-07,22.79,9780600
2003-10-08,23.04,7090800
2003-10-09,23.16,14976000
2003-10-10,23.4,6159000
2003-10-13,23.45,3216600
2003-10-14,23.15,8460000
2003-10-15,22.97,6606600
2003-10-16,22.69,8532000
2003-10-17,22.91,4972800
2003-10-20,23.01,5736600
2003-10-21,23.51,14730600
2003-10-22,22.9,16034400
2003-10-23,22.82,6135600
2003-10-24,22.89,4285200
2003-10-27,23.2,7212000
2003-10-28,23.34,14097600
2003-10-29,23.15,4059600
2003-10-30,23.7,11254200
2003-10-31,23.8,10052400
2003-11-03,25.0,23105993
2003-11-04,25.02,17765531
2003-11-05,24.98,7816200
2003-11-06,25.28,8275200
2003-11-07,26.0,10567800
2003-11-10,25.58,4754400
2003-11-11,25.41,4556400
2003-11-12,25.64,10867800
2003-11-13,26.1,6773400
2003-11-14,26.12,9015600
2003-11-17,25.84,4680600
2003-11-18,25.9,5442600
2003-11-19,25.0,16917000
2003-11-20,24.59,6164400
2003-11-21,25.06,5152800
2003-11-24,24.62,10369800
2003-11-25,24.75,5313000
2003-11-26,25.01,5471400
2003-11-28,25.64,5602200
2003-12-01,26.3,7640400
2003-12-02,27.01,12018600
2003-12-03,27.1,16341000
2003-12-04,27.15,10387800
2003-12-05,27.06,4574400
2003-12-08,26.74,5385600
2003-12-09,26.05,6244200
2003-12-10,25.88,8533800
2003-12-11,26.4,17322600
2003-12-12,25.98,7653000
2003-12-15,25.98,10269600
2003-12-16,25.84,4818000
2003-12-17,25.95,6514200
2003-12-18,26.35,8607000
2003-12-19,26.6,7281000
2003-12-22,26.75,5115600
2003-12-23,26.5,8196600
2003-12-24,26.89,1812600
2003-12-26,26.96,954600
2003-12-29,27.05,3777600
2003-12-30,27.27,4696200
2003-12-31,27.34,2134200
2004-01-02,28.32,5341200
2004-01-05,30.04,12823800
2004-01-06,29.8,15831000
2004-01-07,30.05,8887800
2004-01-08,30.65,35339999
2004-01-09,31.3,13914600
2004-01-12,31.65,9056400
2004-01-13,31.57,6579600
2004-01-14,31.25,11271600
2004-01-15,31.19,8885400
2004-01-16,31.52,6505200
2004-01-20,32.5,11595000
2004-01-21,32.3,42683999
2004-01-22,32.2,7302000
2004-01-23,33.05,17163000
2004-01-26,33.48,8513400
2004-01-27,33.15,14436600
2004-01-28,32.14,20283599
2004-01-29,31.04,21784799
2004-01-30,31.25,10040400
2004-02-02,32.25,17953199
2004-02-03,32.15,14043600
2004-02-04,32.04,9043800
2004-02-05,31.95,5415000
2004-02-06,32.51,8313600
2004-02-09,33.33,11763600
2004-02-10,33.08,6994200
2004-02-11,33.61,5854200
2004-02-12,35.0,16559400
2004-02-13,35.78,12256800
2004-02-17,36.89,20041799
2004-02-18,36.59,15013200
2004-02-19,36.2,14841000
2004-02-20,35.31,17415599
2004-02-23,34.9,11949000
