date,close,volume
1985-01-02,33.6251,162900
1985-01-03,34.0001,87300
1985-01-04,33.5,495300
1985-01-07,33.125,301500
1985-01-08,33.75,337800
1985-01-09,33.875,395700
1985-01-10,34.0001,698700
1985-01-11,34.625,470700
1985-01-14,34.5,465300
1985-01-15,35.75,1166400
1985-01-16,36.5,986700
1985-01-17,36.75,388200
1985-01-18,36.2501,551400
1985-01-21,36.6251,504900
1985-01-22,37.125,1063200
1985-01-23,37.25,1024800
1985-01-24,37.7501,1039200
1985-01-25,38.25,893400
1985-01-28,37.25,230400
1985-01-29,37.0001,180900
1985-01-30,37.625,489000
1985-01-31,37.0001,213300
1985-02-01,37.25,316800
1985-02-04,37.7501,304200
1985-02-05,39.125,334800
1985-02-06,40.0001,1901100
1985-02-07,40.25,540000
1985-02-08,40.625,598200
1985-02-11,40.625,543300
1985-02-12,40.3751,305400
1985-02-13,40.3751,1089600
1985-02-14,41.5001,697200
1985-02-15,41.25,229500
1985-02-19,41.1251,158400
1985-02-20,39.6251,919500
1985-02-21,38.375,1057500
1985-02-22,38.0,375300
1985-02-25,36.6251,561600
1985-02-26,37.5,522300
1985-02-27,38.375,1265400
1985-02-28,39.375,1411800
1985-03-01,39.375,578100
1985-03-04,39.5,1133100
1985-03-05,39.5,291300
1985-03-06,39.0,234300
1985-03-07,38.75,1189800
1985-03-08,38.75,369300
1985-03-11,38.1251,613200
1985-03-12,37.5,2201700
1985-03-13,37.25,531000
1985-03-14,37.7501,1030800
1985-03-15,37.7501,1028400
1985-03-18,38.0,90000
1985-03-19,37.7501,865200
1985-03-20,37.7501,369000
1985-03-21,37.25,411600
1985-03-22,37.3751,240600
1985-03-25,37.5,231300
1985-03-26,37.5,135300
1985-03-27,37.125,298200
1985-03-28,37.3751,3332700
1985-03-29,37.5,849000
1985-04-01,37.5,386400
1985-04-02,37.7501,1743900
1985-04-03,37.0001,322200
1985-04-04,37.25,390900
1985-04-08,38.1251,293400
1985-04-09,38.0,222600
1985-04-10,38.375,366000
1985-04-11,39.2501,378300
1985-04-12,39.2501,88500
1985-04-15,39.6251,312600
1985-04-16,39.6251,308100
1985-04-17,39.875,298200
1985-04-18,40.25,198000
1985-04-19,40.25,253800
1985-04-22,40.125,261900
1985-04-23,40.0001,2493600
1985-04-24,40.3751,612300
1985-04-25,40.125,342900
1985-04-26,40.125,173100
1985-04-29,39.125,140700
1985-04-30,37.875,647700
1985-05-01,38.25,978300
1985-05-02,38.1251,720300
1985-05-03,38.375,607800
1985-05-06,38.375,219600
1985-05-07,38.625,778500
1985-05-08,39.2501,1035300
1985-05-09,39.5,679500
1985-05-10,41.5001,1201800
1985-05-13,41.5001,120300
1985-05-14,41.0,612900
1985-05-15,41.375,1061400
1985-05-16,42.125,1316400
1985-05-17,42.0,1755000
1985-05-20,42.6251,949800
1985-05-21,42.375,1710300
1985-05-22,42.0,894000
1985-05-23,40.5,1218900
1985-05-24,41.1251,2248800
1985-05-28,41.375,510900
1985-05-29,40.3751,742800
1985-05-30,40.25,567300
1985-05-31,40.625,636900
1985-06-03,41.25,2117400
1985-06-04,41.25,382800
1985-06-05,40.875,351600
1985-06-06,40.7501,1058400
1985-06-07,40.875,600900
1985-06-10,40.125,1154700
1985-06-11,40.3751,139500
1985-06-12,40.5,99600
1985-06-13,40.0001,433500
1985-06-14,39.5,317700
1985-06-17,39.6251,569400
1985-06-18,39.875,718500
1985-06-19,40.0001,172800
1985-06-20,39.6251,235500
1985-06-21,39.5,328800
1985-06-24,39.6251,455400
1985-06-25,40.0001,273900
1985-06-26,40.25,169500
1985-06-27,40.625,328800
1985-06-28,40.625,347700
