Date,Price,Open,High,Low,Vol.,Change %
03/02/2023,"3,981.35","3,938.68","3,990.84","3,928.16",,0.76%
03/01/2023,"3,951.39","3,963.34","3,971.73","3,939.05",,-0.47%
02/28/2023,"3,970.15","3,977.19","3,997.50","3,968.98",,-0.30%
02/27/2023,"3,982.24","3,992.36","4,018.05","3,973.55",,0.31%
02/24/2023,"3,970.04","3,973.24","3,978.25","3,943.08",,-1.05%
02/23/2023,"4,012.32","4,018.60","4,028.30","3,969.19",,0.53%
02/22/2023,"3,991.05","4,001.83","4,017.37","3,976.90",,-0.16%
02/21/2023,"3,997.34","4,052.35","4,052.35","3,995.19",,-2.00%
02/17/2023,"4,079.09","4,077.39","4,081.51","4,047.95",,-0.28%
02/16/2023,"4,090.41","4,114.75","4,136.54","4,089.49",,-1.38%
02/15/2023,"4,147.60","4,119.50","4,148.11","4,103.98",,0.28%
02/14/2023,"4,136.13","4,126.70","4,159.77","4,095.01",,-0.03%
02/13/2023,"4,137.29","4,096.62","4,138.90","4,092.67",,1.14%
02/10/2023,"4,090.46","4,068.92","4,094.36","4,060.79",,0.22%
02/09/2023,"4,081.50","4,144.25","4,156.23","4,069.67",,-0.88%
02/08/2023,"4,117.86","4,153.47","4,156.85","4,111.67",,-1.11%
02/07/2023,"4,164.00","4,105.35","4,176.54","4,088.39",,1.29%
02/06/2023,"4,111.08","4,119.57","4,124.63","4,093.38",,-0.61%
02/03/2023,"4,136.48","4,136.69","4,182.36","4,123.36",,-1.04%
02/02/2023,"4,179.76","4,158.68","4,195.44","4,141.88",,1.47%
02/01/2023,"4,119.21","4,070.07","4,148.95","4,037.20",,1.05%
01/31/2023,"4,076.60","4,020.85","4,077.16","4,020.44",,1.46%
01/30/2023,"4,017.77","4,049.27","4,063.85","4,015.55",,-1.30%
01/27/2023,"4,070.56","4,053.72","4,094.21","4,048.70",,0.25%
01/26/2023,"4,060.43","4,036.08","4,061.57","4,013.29",,1.10%
01/25/2023,"4,016.22","3,982.71","4,019.55","3,949.06",,-0.02%
01/24/2023,"4,016.95","4,001.74","4,023.92","3,989.79",,-0.07%
01/23/2023,"4,019.81","3,978.14","4,039.31","3,971.64",,1.19%
01/20/2023,"3,972.61","3,909.04","3,972.96","3,897.86",,1.89%
01/19/2023,"3,898.85","3,911.84","3,922.94","3,885.54",,-0.76%
01/18/2023,"3,928.86","4,002.25","4,014.16","3,926.59",,-1.56%
01/17/2023,"3,990.97","3,999.28","4,015.39","3,984.57",,-0.20%
01/13/2023,"3,999.09","3,960.60","4,003.95","3,947.67",,0.40%
01/12/2023,"3,983.17","3,977.57","3,997.76","3,937.56",,0.34%
01/11/2023,"3,969.61","3,932.35","3,970.07","3,928.54",,1.28%
01/10/2023,"3,919.25","3,888.57","3,919.83","3,877.29",,0.70%
01/09/2023,"3,892.09","3,910.82","3,950.57","3,890.42",,-0.08%
01/06/2023,"3,895.08","3,823.37","3,906.19","3,809.56",,2.28%
01/05/2023,"3,808.10","3,839.74","3,839.74","3,802.42",,-1.16%
01/04/2023,"3,852.97","3,840.36","3,873.16","3,815.77",,0.75%
01/03/2023,"3,824.14","3,853.29","3,878.46","3,794.33",,-0.40%
12/30/2022,"3,839.50","3,829.06","3,839.85","3,800.34",,-0.25%
12/29/2022,"3,849.28","3,805.45","3,858.19","3,805.45",,1.75%
12/28/2022,"3,783.22","3,829.56","3,848.32","3,780.78",,-1.20%
12/27/2022,"3,829.25","3,843.34","3,846.65","3,813.22",,-0.40%
12/23/2022,"3,844.82","3,815.11","3,845.80","3,797.01",,0.59%
12/22/2022,"3,822.39","3,853.26","3,853.26","3,764.49",,-1.45%
12/21/2022,"3,878.44","3,839.49","3,889.82","3,839.49",,1.49%
12/20/2022,"3,821.62","3,810.47","3,838.24","3,795.62",,0.10%
12/19/2022,"3,817.66","3,853.79","3,854.86","3,800.04",,-0.90%
12/16/2022,"3,852.36","3,890.91","3,890.91","3,827.91",,-1.11%
12/15/2022,"3,895.75","3,958.37","3,958.37","3,879.45",,-2.49%
12/14/2022,"3,995.32","4,015.54","4,053.76","3,965.65",,-0.61%
12/13/2022,"4,019.65","4,069.38","4,100.96","3,993.03",,0.73%
