,date,open,high,low,close,adjusted_close,volume,wma_x,wma_y,slope_x,slope_y,rsi_x,rsi_y,volatility_x,volatility_y
0,1981-01-02,,,,,,,,,,,,,0.0,0.0002
1,1981-01-05,33.8688,33.8688,33.7568,33.7568,0.1171,35728000.0,0.1197,0.1141,0.0,0.0029,58.4672,64.5,0.0,0.0002
2,1981-01-06,32.368,32.368,32.256,32.256,0.1119,45158400.0,0.1177,0.1146,-0.0018,0.0026,47.7581,58.9939,0.0,0.0002
3,1981-01-07,31.0016,31.0016,30.8672,30.8672,0.1071,55686400.0,0.1146,0.1144,-0.0027,0.0018,39.8897,54.3792,0.0,0.0001
4,1981-01-08,30.3744,30.3744,30.24,30.24,0.1049,39827200.0,0.1115,0.1136,-0.0029,0.0009,36.66,52.3577,0.0,0.0001
5,1981-01-09,31.8752,32.0096,31.8752,31.8752,0.1106,21504000.0,0.1106,0.1135,-0.0022,0.0003,49.1137,56.835,0.0,0.0001
6,1981-01-12,31.8752,31.8752,31.6288,31.6288,0.1097,23699200.0,0.1098,0.1131,-0.0018,-0.0003,47.397,55.9411,0.0,0.0
7,1981-01-13,30.6208,30.6208,30.5088,30.5088,0.1058,23049600.0,0.1083,0.112,-0.0012,-0.0009,40.2794,52.1158,0.0,0.0
8,1981-01-14,30.6208,30.7552,30.6208,30.6208,0.1062,14291200.0,0.1075,0.111,-0.0005,-0.0013,41.3336,52.4747,0.0,0.0
9,1981-01-15,31.248,31.4944,31.248,31.248,0.1084,14067200.0,0.1076,0.1103,0.0001,-0.0015,47.3025,54.4952,0.0,0.0
10,1981-01-16,31.136,31.136,31.0016,31.0016,0.1075,13395200.0,0.1076,0.1095,0.0,-0.0014,45.1119,53.4933,0.0,0.0
11,1981-01-19,32.8832,32.9952,32.8832,32.8832,0.1141,41574400.0,0.1092,0.1097,0.0003,-0.0009,60.6877,59.3898,0.0,0.0
12,1981-01-20,32.0096,32.0096,31.8752,31.8752,0.1106,30083200.0,0.1096,0.1095,0.0007,-0.0006,51.6242,55.3798,0.0,0.0
13,1981-01-21,32.5024,32.7488,32.5024,32.5024,0.1128,15904000.0,0.1106,0.1098,0.0013,-0.0003,56.3994,57.3301,0.0,0.0
14,1981-01-22,32.8832,33.1296,32.8832,32.8832,0.1141,35548800.0,0.1118,0.1103,0.0013,0.0001,59.1774,58.4848,0.0,0.0
15,1981-01-23,32.8832,32.9952,32.7488,32.7488,0.1136,11222400.0,0.1126,0.1108,0.001,0.0004,57.5325,57.8365,0.0,0.0
16,1981-01-26,32.368,32.368,32.256,32.256,0.1119,24640000.0,0.1126,0.111,0.0006,0.0006,51.8192,55.5807,0.0,0.0
